ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
230,RP,Luis Garcia,Oceanside,34059, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,9.1,38,36,8,4,1,0,3,4,3,1,0,9,1,.208,0,0,0,1,8,1.14,12,6,0,0,6.11,0.5,-0.1,0.2,3.08,1,8,0,3,1,2,0,0,0,1.000,2.89,0.0,1.006,0,0,9.1,0,0,0.00,0,0,1,0,2,1,0,0,0,0,0,0.0,0.0
273,RP,Sam Gibson,EVC's,40195, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,2.1,11,11,4,2,0,1,1,1,1,0,0,3,0,.429,0,0,0,0,1,0.38,2,2,0,0,6.22,-0.0,-0.0,0.0,2.08,1,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
116,RP,Tyler Gilbert,CG,40749, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.0,12,10,2,2,0,0,0,0,0,2,0,4,0,.333,0,0,0,1,2,0.45,2,2,0,0,2.55,0.1,0.1,0.2,3.24,1,2,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
314,RP,Javy Guerra,Vegas,34066, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,1.1,5,3,0,0,0,0,0,0,0,1,0,0,1,.000,0,0,0,0,2,0.86,2,1,0,1,7.72,0.0,-0.0,0.1,8.12,1,2,0,0,0,0,0,0,0,.000,0.00,0.1,.000,1,1,1.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
252,RP,Brent Honeywell Jr.,Low Country,34636, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,6.0,28,24,7,7,0,0,0,6,5,3,0,5,0,.350,0,1,0,0,4,1.15,6,7,1,0,3.05,-0.3,0.2,-0.2,4.59,1,4,0,0,0,0,0,0,0,.000,0.00,-0.4,.000,1,0,6.0,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,-0.3,0.0
193,RP,Dusty Hughes,Brooklyn,35323, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,1.2,9,7,2,1,1,0,0,1,1,2,0,2,0,.400,0,0,0,0,3,1.90,1,2,0,0,4.42,-0.2,0.0,0.0,5.29,1,3,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
335,RP,Jay Jackson,Vegas,40628, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,1.0,5,4,1,1,0,0,0,0,0,1,0,2,0,.500,0,0,0,0,1,1.02,1,0,0,0,2.22,0.0,0.0,0.1,3.36,1,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
189,RP,Ralph Judd,Brooklyn,40050, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.2,21,20,5,2,0,0,3,5,4,1,0,6,0,.182,0,0,0,0,3,1.08,2,6,0,0,9.65,-0.5,-0.2,-0.2,2.07,1,3,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
211,RP,Joey Krehbiel,Oceanside,35009, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,10.1,40,38,7,6,0,0,1,1,1,2,0,9,0,.214,0,0,0,0,8,0.97,15,7,1,0,3.32,0.5,0.2,0.5,3.58,1,8,0,2,0,2,0,0,0,1.000,1.74,-0.2,.000,1,0,10.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
69,RP,Joey Krehbiel,Appleton,35009, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,3.1,17,16,6,3,1,0,2,4,4,1,0,5,0,.444,0,0,0,0,4,0.55,3,2,0,0,8.92,-0.1,-0.1,-0.2,2.55,1,4,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
