ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
411,SP,James Kaprielian,Dark Web,34634, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,18.0,78,69,16,7,5,0,4,9,9,7,0,20,1,.261,0,1,0,2,0,1.09,18,14,1,0,5.22,0.0,0.2,0.4,3.35,1,3,3,2,0,2,0,0,0,1.000,1.00,-0.1,.000,1,0,18.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
204,SP,Yusei Kikuchi,Brooklyn,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,25,22,5,2,1,0,2,4,4,3,0,6,0,.214,0,0,0,0,0,0.74,8,3,0,1,7.05,-0.0,-0.0,0.1,4.14,1,1,1,1,0,1,0,0,0,1.000,1.50,0.2,.000,1,1,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
138,SP,Yusei Kikuchi,Berlin,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,22,20,7,3,2,0,2,6,6,2,0,5,0,.385,0,0,1,0,0,1.15,5,3,0,0,8.30,-0.4,-0.1,-0.2,3.77,1,1,1,1,1,0,0,0,0,1.000,2.08,0.2,1.006,0,0,4.1,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-0.1,0.0
98,SP,Yusei Kikuchi,Detroit,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,4,19.1,88,80,24,14,3,1,6,16,14,8,0,28,0,.391,0,0,1,2,0,0.74,16,9,0,2,5.60,-0.4,0.1,-0.1,2.67,1,4,4,2,2,0,0,0,0,1.000,0.93,0.1,1.006,2,2,19.1,0,0,0.00,0,0,2,0,0,0,0,0,0,0,0,-0.9,0.0
52,SP,Yusei Kikuchi,Appleton,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,16.0,73,60,14,10,3,0,1,7,7,12,0,22,1,.351,0,0,0,1,0,1.14,17,7,1,1,3.72,-0.0,0.5,0.5,3.77,1,3,3,2,1,1,0,0,0,1.000,1.12,-0.0,1.006,2,1,16.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
337,SP,Elmer Koestner,Mississauga,40023, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,25,25,8,6,2,0,0,3,3,0,0,6,0,.421,0,0,0,1,0,1.08,6,4,0,0,1.22,-0.0,0.4,0.1,2.60,1,1,1,2,1,1,0,1,0,1.000,3.00,0.1,1.006,0,0,6.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.1,0.0
160,SP,Ad Liska,Providence,39990, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,26,22,8,6,1,0,1,5,4,4,0,3,0,.389,0,0,0,1,0,0.88,8,2,0,1,7.02,-0.1,-0.0,-0.1,6.06,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0
225,SP,Jordan Lyles,Oceanside,34989, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.2,72,65,22,14,4,0,4,9,6,6,0,14,1,.383,0,0,0,3,0,1.17,11,16,0,0,6.29,-0.3,0.0,0.2,4.07,1,3,3,1,1,0,0,0,0,1.000,0.61,0.1,1.006,0,0,14.2,0,0,0.00,1,1,1,0,0,0,0,0,0,0,0,0.5,0.0
306,SP,Brendan McKay,Tokyo,40508, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.2,19,15,5,3,1,0,1,5,5,3,0,7,0,.500,0,1,0,0,0,0.86,2,2,0,0,5.40,-0.4,0.0,-0.2,2.73,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
111,SP,Bill Monbouquette,CG,37349, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,7.0,28,28,7,5,1,0,1,4,4,0,0,8,0,.316,0,0,0,0,0,0.89,3,10,0,0,2.79,-0.0,0.3,0.1,1.24,1,1,1,1,1,0,0,0,0,1.000,1.29,0.2,1.006,0,0,7.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
