ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
230,C,Bubbles Hargrave,Key West,KW,38076,4, ,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,.440,.000,0,0.3,0.1,0,0,0.3,0.0,0.4,0.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
145,C,Bubbles Hargrave,Baltimore,BAL,38076,7,4,22,19,11,7,2,0,2,4,5,3,0,0,0,0,2,0,.657,.600,9,6.4,0.6,2,2,6.3,-0.6,0.7,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,5,4,44,2,42,0,0,0,1.000,10.70,-0.3,1.052,0,0,37.0,2,23,5.59,0,0,0,0,1,1,0,0,0,0,0,0.9,0.0
38,C,Bubbles Hargrave,Mississauga,MIS,38076,9,6,35,30,10,4,1,0,5,10,8,5,1,0,0,0,7,0,.474,.278,9,3.6,0.2,0,0,3.6,0.0,0.1,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,6,6,68,7,59,2,0,0,.971,11.00,-0.7,.000,2,1,54.0,2,56,9.33,0,0,0,0,1,1,0,0,0,0,0,-1.4,0.0
6,C,Bubbles Hargrave,Springfield,SPR,38076,14,13,65,54,17,11,2,1,3,13,14,11,0,0,0,0,17,1,.420,.412,13,3.2,0.2,0,1,3.2,-0.3,-0.9,-1.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,13,13,123,5,118,0,2,0,1.000,9.68,0.1,1.052,5,2,114.1,1,88,6.93,0,0,0,0,1,1,0,0,0,0,0,-2.3,0.0
316,C,Alejandro Kirk,Yellowknife,Y,34881,7,3,17,15,3,1,1,0,1,2,3,2,0,0,0,0,2,0,.315,.167,1,-1.0,-0.1,0,0,-1.0,0.0,-0.3,-0.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
226,C,Andrew Knapp,Key West,KW,40548,4,4,17,12,3,2,0,0,1,2,2,5,0,0,0,0,4,0,.429,.286,3,1.0,0.1,0,0,1.0,0.0,-0.6,-0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,38,1,37,0,0,0,1.000,10.16,-0.4,1.052,2,0,33.2,1,21,5.61,2,2,0,0,0,0,0,0,0,0,0,-0.1,0.0
814,C,Buck Martinez,Norwood,NOR,35136,2,1,5,4,1,0,1,0,0,0,0,1,0,0,0,0,3,0,.389,1.000,0,0.1,0.0,0,0,0.1,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,8,0,7,1,0,0,.875,7.00,-0.1,.000,1,0,9.0,0,2,2.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
14,C,Buck Martinez,Springfield,SPR,35136,10,7,34,30,7,4,1,0,2,4,6,3,0,1,0,0,11,1,.333,.294,4,-1.3,-0.0,0,0,-1.3,0.0,0.2,0.2,1,0,0,0,0.1,3,2,1,1,0,0,0,0,0,1,0,0,0,.500,0,0,0,0,1,0.13,10,10,0,1,0,0,12.20,0.0,-0.0,0.0,10.41,2,7,7,69,1,68,0,0,0,1.000,9.86,-0.1,.000,4,1,63.0,0,21,3.00,0,0,0,0,0,0,0,0,0,0,0,-0.9,0.0
107,C,Milt May,Carolina,CAR,35256,4,4,16,14,3,3,0,0,0,1,3,2,0,0,0,0,3,0,.262,.273,0,-1.7,-0.0,0,0,-1.8,0.0,0.5,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,29,3,26,0,1,0,1.000,7.05,0.2,.000,5,3,37.0,0,18,4.38,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
363,C,Sport McAllister,Wedgwood,WED,39942,22,19,88,80,24,19,4,0,1,15,13,5,0,1,0,2,16,2,.320,.354,9,-4.4,-0.3,2,2,-4.5,-0.4,-0.4,-0.8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,8,8,88,7,81,0,1,0,1.000,11.65,-0.7,.263,6,4,68.0,1,35,4.63,0,0,0,0,3,1,0,0,1,0,0,-2.2,0.0
