POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,SIERA,POS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
SP,Brent Honeywell Jr.,Wedgwood,34636, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,6.2,31,27,8,4,0,0,4,8,8,4,0,8,0,.267,0,0,0,2,0,0.87,6,4,1,0,10.54,-0.3,3.78,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,6.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,James Kaprielian,Hoollebob,34634, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,25,23,5,5,0,0,0,0,0,1,0,12,1,.455,0,0,1,1,0,1.42,3,2,1,0,0.34,0.3,0.33,1,0,0,0,0,0,0,.000,0.00,-0.5,.000,1,0,6.0,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.3,0.0
SP,Yusei Kikuchi,Portland,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,12.0,49,45,11,6,2,0,3,7,7,3,0,16,0,.296,0,1,1,1,0,0.95,7,11,1,1,4.68,-0.3,1.98,1,1,0,1,0,0,0,1.000,0.75,-0.1,.000,2,1,12.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
SP,Yusei Kikuchi,Law Law Land,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,12.0,52,46,11,8,1,0,2,7,7,5,0,18,1,.346,0,0,1,0,0,0.87,11,6,0,0,4.01,-0.0,2.45,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,12.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
SP,Yusei Kikuchi,Whitestone,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,3,3,15.1,68,55,11,8,0,0,3,6,6,13,0,22,0,.267,0,0,0,1,0,0.89,11,11,2,1,5.56,0.1,3.64,1,1,1,0,0,0,0,1.000,0.59,-0.4,.000,3,1,15.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Yusei Kikuchi,Finneytown,34857, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,19,17,5,3,2,0,0,3,3,1,0,7,0,.455,0,1,0,0,0,0.89,2,4,1,0,0.80,-0.0,1.29,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Elmer Koestner,Tar Valon,40023, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.0,15,11,4,3,0,0,1,5,5,3,0,2,1,.375,0,0,0,2,0,0.85,4,1,0,0,10.34,-0.4,6.26,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
SP,Elmer Koestner,Derp Force,40023, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,12.0,51,43,8,3,1,0,4,5,5,8,0,13,0,.154,0,0,0,2,0,1.09,9,12,0,0,7.51,0.0,4.09,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,12.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Jimmy Lambert,Newark,40805, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,2.2,17,17,7,5,1,0,1,6,1,0,0,5,0,.545,0,0,0,0,0,1.05,2,2,0,0,4.47,-0.4,1.81,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
SP,Jimmy Lambert,Tar Valon,40805, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.2,43,36,10,6,0,0,4,8,8,6,0,10,0,.261,0,1,0,1,0,0.70,8,9,1,1,8.51,-0.3,4.21,1,1,1,0,0,0,0,1.000,0.93,-0.1,1.019,2,1,9.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
